"Live - 2. Internationaler Wettbewerb für U-Musik St. Gallen 1995","25","International","verschiedene Orchester","""Build up the Band (Koos Mark); Strike up the Band (George Gershwin); Final Play-off (Marcel Peeters); The House of the Rising Sun (Arr. Rolf-Werner Discher); A String of Pearls (Jerry Gray / Arr. Jack Ham); Oh, Lady be good (George Gershwin / Arr. Marshall); Abschied der Slawin (Viktor Agapkin); Spanish Fever (Jay Chattaway); I shall not be moved (Trad. / Arr. Christoph Walter); Jazz Suite: Blues (Frank Bencriscutto); Invisible Circus (Christian Kolonovits / Arr. Rhinow); Selection from ›Aladdin‹ (Alan Menken / Arr. Moss); Volksmusik für Ländlerkapelle und Blasorchester (Elmar Schmid)""","chlive.jpg","","Ja"
"Mitänand","8","Gemischte Aufnahmen","Bauernkapelle Eberschwang / Johann Mösenbichler – sowie verschiedene Choraufnahmen","""Triebensee-Ouvertüre (Joseph Triebensee / Arr. Johann Mösenbichler); Aida: Hymne und Triumphmarsch (Giuseppe Verdi / Arr. Johann Mösenbichler); Pannonia (Karl Trawöger); Four Latin Dances (Wolfgang Weissengruber); Oregon (Jacob de Haan); Radetzky-Marsch (Johann Strauß)""","mixmitanand.jpg","","Ja"
"Moravian Composers Club Brno 1","18","Gemischte Aufnahmen","verschiedene Interpreten","Die Schlacht bei Austerlitz (Evzen Zámecník)","mixclubbrno.jpg","","Ja"
"Mountains and Rivers Without End","9","Gemischte Aufnahmen","Manhattan Chamber Orchestra / Richard Auldon Clark","Kompositionen von Alan Hovhaness: Return and Rebuild the Desolate Places – Concerto for trumpet and wind symphony orchestra","","","Ja"
"Music of Fisher Tull – A Celebration!","10","Gemischte Aufnahmen","verschiedene Interpreten","The Final Convenant / A Passing Fantasy","","","Ja"
"New Brass Symphony","11","Gemischte Aufnahmen","American Wind Symphony Orchestra / Robert A. Boudreau","""Concerto für Percussion und Bläser (Toshiro Mayuzumi); Pittsburgh Overture (Krzysztof Penderecki); Armageddon (Henk Badings)""","mixnewbrasssymphony.jpg","","Ja"
"Perantoni plays Perantoni","12","Gemischte Aufnahmen","University of Illinois Band / Harry Begian u.a.","Konzert für Tuba (Robert Jager)","mixperantoni.jpg","","Ja"
"Remembrance – A Charles Ives Collection","13","Gemischte Aufnahmen","Detroit Chamber Winds and Friends / H. Robert Reynolds","Kompositionen von Charles Ives: March III with the Air Old Kentucky Home / Ann Street / Calcium Light Night / Holiday Quickstep sowie mehrere Kammermusikstücke","mixremembrance.jpg","","Ja"
"Roy Harris, Robert Russell Bennett","14","Gemischte Aufnahmen","U.C.L.A. Wind Ensemble / Dir. James Westbrook","Symphony for Band (Roy Harris)","","","Ja"
"Take 1 – Die letzte Posaune","15","Gemischte Aufnahmen","verschiedene Interpreten","Konzert für Posaune (Nikolai Rimsky-Korsakow)","","","Ja"
"The Creative World of William Francis McBeth","16","Gemischte Aufnahmen","Ouachita University Symphonic Band / William Francis McBeth","Through Countless Halls of Air / Wine from these Grapes / Of Sailors and Whales","mixcreativeworld.jpg","","Ja"
"The Ill-Conceived P. D. Q. Bach Anthology","17","Gemischte Aufnahmen","verschiedene Interpreten","Grand Serenade for an Awful Lot of Winds and Percussion (P.D.Q. Bach)","mixthe3bachanthology.jpg","","Ja"
"Trinitatis Kirke (Fredericia) – 5. Juli Koncert","19","Gemischte Aufnahmen","Musikkorps des Schleswigschen Regiments zu Fuß / verschiedene Dirigenten","""Prinz Jørgens Marsch (Trumpet Voluntary) (Jeremiah Clarke, Arr. H. Wood); Trauermarsch f-Moll (J.P.E. Hartmann); Melodienfolge über Lieder aus Dänemarks goldener Zeit (K. Graugaard, F. Neergård Pedersen); Festklänge (J.P.E.Hartmann) u.a.m.""","","","Ja"
"Tschaikowsky – Gershwin","20","Gemischte Aufnahmen","Berliner Symphoniker, Saar Wind Orchestra / Manfred Neuman","Rhapsody in Blue (George Gershwin)","gemitschaikowsky.jpg","","Ja"
"University of Warwick I","21","Gemischte Aufnahmen","University of Warwick Wind Orchestra ","First Suite in E flat (Gustav Holst)","","","Ja"
"University of Warwick II","22","Gemischte Aufnahmen","University of Warwick Wind Orchestra ","Resurgam (Eric Ball)","","","Ja"
"University of Warwick III","23","Gemischte Aufnahmen","University of Warwick Wind Orchestra ","Rhapsody in Blue (George Gershwin)","","","Ja"
"Zur Ehre Gottes – zur Freude der Menschen","24","Gemischte Aufnahmen","Militärmusik Kärnten / Sigismund Seidl u.a.","""Fanfare über »Lobet den Herren« (James Curnow); Korsische Litanei (Vaclav Nelhybel); Josua (Ken Roccard); Panis Angelicus (César Franck, Arr. Alfred Reed); Kaleidoskop 804 (Miroslav Matic); Sinfonie Nr. 3 C-Dur op. 78: Finale (Camille Saint-Saens, Arr. Earl Slocum)""","","","Ja"
