"Nikolai Rimsky-Korsakow","62","Belgien","Gailly CD 87 075","Diese vorbildliche Einspielung, die den Komponisten von sinfonischen Dichtungen und Opern in einem – für viele Klassik-Freunde – ungewohnten Licht zeigt, erschien zum 150. Todestag Rimsky-Korsakows im Jahre 1994.","brimsky","KOB","Carpe Diem Musikverlag","39,90","CD87075","","","","Gailly","20.4",""
"Sinfonietta","63","Belgien","Kortrijk-Aalbeke","","bkortrijk","KOB","","","","","","","Kortrijk-Aalbeke","",""
"Softly Blue","64","Belgien","Miragram 88091-2","","bsoftlyblue","KOB","Carpe Diem Musikverlag","39,90","88091-2","","","","Miragram","20.4",""
"Song and Dance","65","Belgien","Mitropa CD 94.006","","","KOB","","","","","","","Haske","",""
"Sounds for Winds","66","Belgien","Mitropa-CD 93.005","","","KOB","","","","","","","Haske","",""
"Spanish Music","1628","Belgien","Gailly CD 87 107","","belgspanishmusic","KOB","Carpe Diem Musikverlag","39,90","CD87107","","","","Gailly","20.4",""
"Spirit of Life","1629","Belgien","De Haske-Records 01.020-3","","bspiritoflife","KOB","De Haske","35,00","1.020-3","","","","Haske","17.9",""
"States of Mind","67","Belgien","Hafabra","","bstatesofmind","KOB","Carpe Diem Musikverlag","39,90","47.284","","","","Hafabra","20.4",""
"Suite Espagnole – Tierolff for Band No. 7","68","Belgien","Tierolff","","","KOB","","","","","","","Tierolff","",""
"Symphonie Fantastique","1630","Belgien","De Haske-Records 11.002-3","","belsymphoniefantastique","KOB","De Haske","35,00","11.002-3","","","","Haske","17.9",""
"The Ambassador","69","Belgien","Staaf Devolder ","","","KOB","","","","","","","Devolder","",""
"The Comedians","1631","Belgien","Gailly CD 87 036","","thecomedians","KOB","Carpe Diem Musikverlag","39,90","CD87036","","","","Gailly","20.4",""
"The Velvet Sound of Clarinets","70","Belgien","Staf Devolder","","bvelvetsound","KOB","","","","","","","Devolder","",""
"Tierolff for Band","71","Belgien","Tierolff","","","KOB","","","","","","","Tierolff","",""
"Tierolff for Band No. 2","72","Belgien","Tierolff","","","KOB","","","","","","","Tierolff","",""
"Tierolff for Band No. 3","73","Belgien","Tierolff","","","KOB","","","","","","","Tierolff","",""
"Toast to Europe – Tierolff for Band No. 8","74","Belgien","Tierolff","","","KOB","","","","","","","Tierolff","",""
